FECHA,COD PIEZA,DESCRIPCION PZA,CLIENTE,OPERACIÓN,TURNO,OPERADOR,MODO DE FALLA,CANT NO OK,CANT TOTAL,TOTAL CONTROLADO,TOTAL PRODUCIDO,DPU
2026-04-01,COMB-FICT-A,CONJUNTO ALFA DEMO,CLIENTE FICTICIO MATRIZ,OP-A,MAÑANA,USR-C01,FISURA,10,300,290,320,0.0345
2026-04-02,COMB-FICT-A,CONJUNTO ALFA DEMO,CLIENTE FICTICIO MATRIZ,OP-A,MAÑANA,USR-C02,FISURA,10,300,290,320,0.0345
2026-04-03,COMB-FICT-A,CONJUNTO ALFA DEMO,CLIENTE FICTICIO MATRIZ,OP-A,TARDE,USR-C03,FISURA,10,300,290,320,0.0345
2026-04-06,COMB-FICT-A,CONJUNTO ALFA DEMO,CLIENTE FICTICIO MATRIZ,OP-A,TARDE,USR-C04,FISURA,10,300,290,320,0.0345
2026-04-07,COMB-FICT-A,CONJUNTO ALFA DEMO,CLIENTE FICTICIO MATRIZ,OP-B,MAÑANA,USR-C01,POROSIDAD,9,280,270,300,0.0333
2026-04-08,COMB-FICT-A,CONJUNTO ALFA DEMO,CLIENTE FICTICIO MATRIZ,OP-B,MAÑANA,USR-C02,POROSIDAD,9,280,270,300,0.0333
2026-04-09,COMB-FICT-A,CONJUNTO ALFA DEMO,CLIENTE FICTICIO MATRIZ,OP-B,NOCHE,USR-C03,POROSIDAD,9,280,270,300,0.0333
2026-04-10,COMB-FICT-A,CONJUNTO ALFA DEMO,CLIENTE FICTICIO MATRIZ,OP-B,NOCHE,USR-C04,POROSIDAD,8,280,270,300,0.0296
2026-04-13,COMB-FICT-B,CONJUNTO BETA DEMO,CLIENTE FICTICIO MATRIZ,OP-C,TARDE,USR-C05,POROSIDAD,10,260,250,280,0.04
2026-04-14,COMB-FICT-B,CONJUNTO BETA DEMO,CLIENTE FICTICIO MATRIZ,OP-C,TARDE,USR-C06,POROSIDAD,10,260,250,280,0.04
2026-04-15,COMB-FICT-B,CONJUNTO BETA DEMO,CLIENTE FICTICIO MATRIZ,OP-C,NOCHE,USR-C07,POROSIDAD,10,260,250,280,0.04
2026-04-16,COMB-FICT-C,CONJUNTO GAMMA DEMO,CLIENTE FICTICIO MATRIZ,OP-C,MAÑANA,USR-C05,RAYADO,10,240,230,260,0.0435
2026-04-17,COMB-FICT-C,CONJUNTO GAMMA DEMO,CLIENTE FICTICIO MATRIZ,OP-C,TARDE,USR-C06,RAYADO,10,240,230,260,0.0435
2026-04-20,COMB-FICT-C,CONJUNTO GAMMA DEMO,CLIENTE FICTICIO MATRIZ,OP-C,NOCHE,USR-C07,RAYADO,10,240,230,260,0.0435
2026-04-21,COMB-FICT-D,CONJUNTO DELTA DEMO,CLIENTE FICTICIO MATRIZ,OP-C,MAÑANA,USR-C08,GOLPE,9,220,210,240,0.0429
2026-04-22,COMB-FICT-D,CONJUNTO DELTA DEMO,CLIENTE FICTICIO MATRIZ,OP-C,TARDE,USR-C08,GOLPE,8,220,210,240,0.0381
2026-04-23,COMB-FICT-D,CONJUNTO DELTA DEMO,CLIENTE FICTICIO MATRIZ,OP-C,NOCHE,USR-C08,GOLPE,8,220,210,240,0.0381
2026-04-24,COMB-FICT-E,CONJUNTO EPSILON DEMO,CLIENTE FICTICIO MATRIZ,OP-D,MAÑANA,USR-C09,POROSIDAD,7,200,195,220,0.0359
2026-04-27,COMB-FICT-E,CONJUNTO EPSILON DEMO,CLIENTE FICTICIO MATRIZ,OP-D,TARDE,USR-C09,POROSIDAD,7,200,195,220,0.0359
2026-04-28,COMB-FICT-E,CONJUNTO EPSILON DEMO,CLIENTE FICTICIO MATRIZ,OP-D,NOCHE,USR-C09,POROSIDAD,6,200,195,220,0.0308
